3:1:4 POST /[object%20MouseEvent] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:2:18 POST /[object%20MouseEvent] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:5:31 GET / Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:5:36 POST /[object%20MouseEvent] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:7:23 GET / Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:8:0 GET / Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:8:36 GET / Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:9:11 GET / Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:9:12 POST /engineStates?stateRightEngine=on&stateLeftEngine=off Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:9:13 POST /engineStates?stateRightEngine=on&stateLeftEngine=off Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:9:14 POST /engineStates?stateRightEngine=on&stateLeftEngine=off Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:9:14 POST /engineStates?stateRightEngine=on&stateLeftEngine=off Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:9:14 POST /engineStates?stateRightEngine=on&stateLeftEngine=off Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:9:18 POST /engineStates?stateRightEngine=on&stateLeftEngine=off Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:9:18 POST /engineStates?stateRightEngine=on&stateLeftEngine=off Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:9:18 POST /engineStates?stateRightEngine=on&stateLeftEngine=off Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:9:18 POST /engineStates?stateRightEngine=on&stateLeftEngine=off Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:9:19 POST /engineStates?stateRightEngine=on&stateLeftEngine=off Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:9:19 POST /engineStates?stateRightEngine=on&stateLeftEngine=off Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:9:19 POST /engineStates?stateRightEngine=on&stateLeftEngine=off Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:9:20 POST /engineStates?stateRightEngine=on&stateLeftEngine=off Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:10:38 GET / Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:10:40 POST /engineStates?stateRightEngine=on&stateLeftEngine=off Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:10:41 POST /engineStates?stateRightEngine=on&stateLeftEngine=off Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:10:41 POST /engineStates?stateRightEngine=on&stateLeftEngine=off Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:10:42 POST /engineStates?stateRightEngine=on&stateLeftEngine=off Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:10:50 GET / Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:11:15 GET / Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:11:19 POST /engineStates?stateRightEngine=on&stateLeftEngine=off Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:11:20 POST /engineStates?stateRightEngine=on&stateLeftEngine=off Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:11:20 POST /engineStates?stateRightEngine=on&stateLeftEngine=off Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:11:21 POST /engineStates?stateRightEngine=on&stateLeftEngine=off Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:11:21 POST /engineStates?stateRightEngine=on&stateLeftEngine=off Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:11:22 POST /engineStates?stateRightEngine=on&stateLeftEngine=off Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:11:23 POST /engineStates?stateRightEngine=on&stateLeftEngine=off Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:11:23 POST /engineStates?stateRightEngine=on&stateLeftEngine=off Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:11:23 POST /engineStates?stateRightEngine=on&stateLeftEngine=off Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:11:24 POST /engineStates?stateRightEngine=on&stateLeftEngine=off Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:11:24 POST /engineStates?stateRightEngine=on&stateLeftEngine=off Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:11:24 POST /engineStates?stateRightEngine=on&stateLeftEngine=off Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:11:24 POST /engineStates?stateRightEngine=on&stateLeftEngine=off Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:11:24 POST /engineStates?stateRightEngine=on&stateLeftEngine=off Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:11:25 POST /engineStates?stateRightEngine=on&stateLeftEngine=off Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:11:25 POST /engineStates?stateRightEngine=on&stateLeftEngine=off Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:11:25 POST /engineStates?stateRightEngine=on&stateLeftEngine=off Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:11:25 POST /engineStates?stateRightEngine=on&stateLeftEngine=off Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:11:25 POST /engineStates?stateRightEngine=on&stateLeftEngine=off Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:11:26 POST /engineStates?stateRightEngine=on&stateLeftEngine=off Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:11:26 POST /engineStates?stateRightEngine=on&stateLeftEngine=off Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:11:26 POST /engineStates?stateRightEngine=on&stateLeftEngine=off Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:11:26 POST /engineStates?stateRightEngine=on&stateLeftEngine=off Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:11:27 POST /engineStates?stateRightEngine=on&stateLeftEngine=off Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
3:11:27 POST /engineStates?stateRightEngine=on&stateLeftEngine=off Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0
